Business ID: 36qqRqBt2QJvkW1y9z06NQ	 | Ground Truth Categories :[ "Pediatric Dentists" , "Health & Medical" , "Dentists"]				 | Programatically assigned Categoires :Health & Medical, Doctors		 | precision : 0.5 		 | Recall : 0.33333334		 | F-Measure : 0.4
Business ID: z0qfX0IAtQC4uNsMSgouqQ	 | Ground Truth Categories :[ "Active Life" , "Pilates" , "Fitness & Instruction"]				 | Programatically assigned Categoires :Barre Classes,Pilates		 | precision : 0.5 		 | Recall : 0.33333334		 | F-Measure : 0.4
Business ID: 6Lo25bdGe3qEdFLGygBsPw	 | Ground Truth Categories :[ "Active Life" , "Yoga" , "Fitness & Instruction"]				 | Programatically assigned Categoires :Barre Classes,Pilates		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: PQNh_F6OmOmP8NFaO7j4_Q	 | Ground Truth Categories :[ "Active Life" , "Barre Classes" , "Cycling Classes" , "Gyms" , "Fitness & Instruction"]				 | Programatically assigned Categoires :Barre Classes,Pilates		 | precision : 0.5 		 | Recall : 0.2		 | F-Measure : 0.2857143
Business ID: ujFGuCZgn9H_vqyPDOA9ZA	 | Ground Truth Categories :[ "Active Life" , "Barre Classes" , "Trainers" , "Fitness & Instruction"]				 | Programatically assigned Categoires :Barre Classes,Pilates		 | precision : 0.5 		 | Recall : 0.25		 | F-Measure : 0.33333334
Business ID: l2lC88_m5WMOLSChY4_XWQ	 | Ground Truth Categories :[ "Pubs" , "Bars" , "American (Traditional)" , "Nightlife" , "Restaurants"]				 | Programatically assigned Categoires :Bars, Gastropubs, Pubs, Nightlife, Sports Bars, Belgian		 | precision : 0.5 		 | Recall : 0.6		 | F-Measure : 0.54545456
Business ID: IAjnFU8VeWN9yo5m3NWWYA	 | Ground Truth Categories :[ "Nightlife" , "Bars" , "American (New)" , "Sports Bars" , "Restaurants"]				 | Programatically assigned Categoires :Bars, Gastropubs, Pubs, Nightlife, Sports Bars		 | precision : 0.6 		 | Recall : 0.6		 | F-Measure : 0.6
Business ID: riTkPznlAPl86dazAjPO3A	 | Ground Truth Categories :[ "Pubs" , "Bars" , "Restaurants" , "Nightlife" , "Gastropubs"]				 | Programatically assigned Categoires :Bars, Gastropubs, Pubs, Nightlife, Sports Bars		 | precision : 0.8 		 | Recall : 0.8		 | F-Measure : 0.8000001
Business ID: dWW6PSpvxTXH0aDnYwU-fQ	 | Ground Truth Categories :[ "Pubs" , "Bars" , "Nightlife" , "Sports Bars"]				 | Programatically assigned Categoires :Bars, Gastropubs, Pubs, Nightlife, Sports Bars, Dive Bars		 | precision : 0.6666667 		 | Recall : 1.0		 | F-Measure : 0.8
Business ID: a1RJtImq30iLs4oxM--QKA	 | Ground Truth Categories :[ "Pubs" , "Bars" , "American (New)" , "Nightlife" , "Restaurants"]				 | Programatically assigned Categoires :Bars, Gastropubs, Pubs, Nightlife, Sports Bars		 | precision : 0.6 		 | Recall : 0.6		 | F-Measure : 0.6
Business ID: moX-9x1Z76IlcAM3bAu4bg	 | Ground Truth Categories :[ "Bars" , "American (Traditional)" , "Pubs" , "Nightlife" , "Sports Bars" , "Restaurants"]				 | Programatically assigned Categoires :Bars, Gastropubs, Pubs, Nightlife, Sports Bars, Irish Pub		 | precision : 0.6666667 		 | Recall : 0.6666667		 | F-Measure : 0.6666667
Business ID: 7edkE4HK4V6iQEz1JgyMcQ	 | Ground Truth Categories :[ "Pubs" , "Bars" , "Nightlife"]				 | Programatically assigned Categoires :Bars, Gastropubs, Pubs, Nightlife, Sports Bars		 | precision : 0.6 		 | Recall : 1.0		 | F-Measure : 0.75
Business ID: KDFTshmwxKn6nSi1L3FuUA	 | Ground Truth Categories :[ "Food" , "Beer, Wine & Spirits"]				 | Programatically assigned Categoires :Bars, Gastropubs, Pubs, Nightlife, Sports Bars		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: C2y5rfhRTkQ1iHd0TKUmjQ	 | Ground Truth Categories :[ "Pubs" , "Bars" , "Nightlife"]				 | Programatically assigned Categoires :Bars, Gastropubs, Pubs, Nightlife, Sports Bars		 | precision : 0.6 		 | Recall : 1.0		 | F-Measure : 0.75
Business ID: xtW28KmwigJ8fAPgT6OkFw	 | Ground Truth Categories :[ "Burgers" , "Bars" , "American (New)" , "Nightlife" , "Restaurants"]				 | Programatically assigned Categoires :Bars, Gastropubs, Pubs, Nightlife, Sports Bars, Dive Bars		 | precision : 0.33333334 		 | Recall : 0.4		 | F-Measure : 0.36363637
Business ID: bFosvxlK1PWI6dqvIKpQ5w	 | Ground Truth Categories :[ "Pubs" , "Bars" , "American (Traditional)" , "Nightlife" , "Restaurants"]				 | Programatically assigned Categoires :Bars,Gastropubs,Pubs,Nightlife,Sports Bars		 | precision : 0.6 		 | Recall : 0.6		 | F-Measure : 0.6
Business ID: wndLfeIcNttkK9jHpF6fsg	 | Ground Truth Categories :[ "Bars" , "British" , "Pubs" , "Nightlife" , "Gastropubs" , "Restaurants"]				 | Programatically assigned Categoires :Bars, Gastropubs, Pubs, Nightlife, Sports Bars, Dive Bars, Irish Pub, Irish, British, Pool Halls		 | precision : 0.5 		 | Recall : 0.8333333		 | F-Measure : 0.625
Business ID: 6hkBh8U1iYrZHofoUykUgA	 | Ground Truth Categories :[ "Burgers" , "Bars" , "Nightlife" , "Restaurants"]				 | Programatically assigned Categoires :Bars, Gastropubs, Pubs, Nightlife, Sports Bars		 | precision : 0.4 		 | Recall : 0.5		 | F-Measure : 0.44444448
Business ID: xdVoVO0SjRth_Af5mtOvTg	 | Ground Truth Categories :[ "Pubs" , "Gastropubs" , "Nightlife" , "Bars" , "Restaurants"]				 | Programatically assigned Categoires :Bars, Gastropubs, Pubs, Nightlife, Sports Bars, Irish Pub		 | precision : 0.6666667 		 | Recall : 0.8		 | F-Measure : 0.72727275
Business ID: iM27P2Dk1tVocQ9ai1FHMQ	 | Ground Truth Categories :[ "Bars" , "American (Traditional)" , "British" , "Pubs" , "Nightlife" , "Restaurants"]				 | Programatically assigned Categoires :Bars, Gastropubs, Pubs, Nightlife, Sports Bars, Irish Pub, Irish, British		 | precision : 0.5 		 | Recall : 0.6666667		 | F-Measure : 0.57142854
Business ID: jS3cHd1E5TuUZbQWpBZqVg	 | Ground Truth Categories :[ "Irish" , "American (New)" , "Mediterranean" , "Restaurants"]				 | Programatically assigned Categoires :Bars, Gastropubs, Pubs, Nightlife, Sports Bars, Irish Pub, Irish		 | precision : 0.14285715 		 | Recall : 0.25		 | F-Measure : 0.18181819
Business ID: jmgKs7CTqSWWwJnFnPIf4A	 | Ground Truth Categories :[ "Pubs" , "Irish" , "Nightlife" , "Bars" , "Restaurants"]				 | Programatically assigned Categoires :Bars, Gastropubs, Pubs, Nightlife, Sports Bars, Irish Pub, Irish, British		 | precision : 0.5 		 | Recall : 0.8		 | F-Measure : 0.61538464
Business ID: wAa3LBRo-iLqFbYiuEMPog	 | Ground Truth Categories :[ "Pubs" , "Burgers" , "Bars" , "Nightlife" , "Restaurants"]				 | Programatically assigned Categoires :Bars,Gastropubs,Pubs,Nightlife,Sports Bars		 | precision : 0.6 		 | Recall : 0.6		 | F-Measure : 0.6
Business ID: xDdJ6CFxbJlUrRQUDW6Bcg	 | Ground Truth Categories :[ "Nightlife" , "Bars" , "American (Traditional)" , "Sports Bars" , "Restaurants"]				 | Programatically assigned Categoires :Bars, Gastropubs, Pubs, Nightlife, Sports Bars, Cheesesteaks		 | precision : 0.5 		 | Recall : 0.6		 | F-Measure : 0.54545456
Business ID: 9GHHH-edaSLwKZahZTdM3g	 | Ground Truth Categories :[ "Bars" , "American (Traditional)" , "Food" , "Breweries" , "Pubs" , "Nightlife" , "Restaurants"]				 | Programatically assigned Categoires :Bars, Gastropubs, Pubs, Nightlife, Sports Bars, Belgian		 | precision : 0.5 		 | Recall : 0.42857143		 | F-Measure : 0.46153846
Business ID: 0i0PwU8lpj4evYKQogWxcA	 | Ground Truth Categories :[ "Gastropubs" , "Restaurants"]				 | Programatically assigned Categoires :Bars, Gastropubs, Pubs, Nightlife, Sports Bars, French		 | precision : 0.16666667 		 | Recall : 0.5		 | F-Measure : 0.25
Business ID: D3a0vrdXzT_UkbPNhK8f7w	 | Ground Truth Categories :[ "Arts & Entertainment" , "American (Traditional)" , "Bars" , "Pubs" , "Nightlife" , "Jazz & Blues" , "Restaurants"]				 | Programatically assigned Categoires :Bars,  Gastropubs,  Pubs,  Nightlife,  Sports Bars,  Cheese Shops, Nightlife, Sports Bars		 | precision : 0.5 		 | Recall : 0.5714286		 | F-Measure : 0.53333336
Business ID: A3Jv-FFRsDEWXxKJ6ZIxfg	 | Ground Truth Categories :[ "Pubs" , "Bars" , "Nightlife"]				 | Programatically assigned Categoires :Bars, Gastropubs, Pubs, Nightlife, Sports Bars, American (New), American (Traditional), Wine Bars, British		 | precision : 0.33333334 		 | Recall : 1.0		 | F-Measure : 0.5
Business ID: wr_qUowhLM8DlouPmvYMCQ	 | Ground Truth Categories :[ "Active Life" , "Disc Golf" , "Playgrounds" , "Parks"]				 | Programatically assigned Categoires :Disc Golf, Playgrounds		 | precision : 1.0 		 | Recall : 0.5		 | F-Measure : 0.6666667
Business ID: JKidbi-Znga807jIFkJM8A	 | Ground Truth Categories :[ "Active Life" , "Disc Golf"]				 | Programatically assigned Categoires :Disc Golf, Golf Equipment, Golf		 | precision : 0.33333334 		 | Recall : 0.5		 | F-Measure : 0.4
Business ID: Gox5N4AcpxUZM86NEpNF1g	 | Ground Truth Categories :[ "Active Life" , "Parks"]				 | Programatically assigned Categoires :Disc Golf, Dog Parks		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: FTSGQC5jLUW_SVFlKUdqGA	 | Ground Truth Categories :[ "Active Life" , "Hiking"]				 | Programatically assigned Categoires :Disc Golf, Playgrounds		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: YCzPF0hON2Vpt_vx1_WGqQ	 | Ground Truth Categories :[ "Active Life" , "Parks"]				 | Programatically assigned Categoires :Disc Golf, Tennis		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: URlavVKb-Rd1leIAbGtDXg	 | Ground Truth Categories :[ "Active Life" , "Parks"]				 | Programatically assigned Categoires :Disc Golf, Tennis		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: VjnZJlK0N6NbR4fCanvW4A	 | Ground Truth Categories :[ "Active Life" , "Parks"]				 | Programatically assigned Categoires :Disc Golf, Amateur Sports Teams		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: ih6jtFK2jkAGFuIBtAd8Qg	 | Ground Truth Categories :[ "Active Life" , "Playgrounds" , "Parks"]				 | Programatically assigned Categoires :Disc Golf, Beaches, Playgrounds		 | precision : 0.33333334 		 | Recall : 0.33333334		 | F-Measure : 0.33333334
Business ID: TTjams7eY7E8ioZ5BJvNEQ	 | Ground Truth Categories :[ "Active Life" , "Parks"]				 | Programatically assigned Categoires :Disc Golf,  Skating Rinks, Soccer		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: pYXh6LgEa46HzeGO8L_srw	 | Ground Truth Categories :[ "Active Life" , "Parks"]				 | Programatically assigned Categoires :Disc Golf		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: vcCimmD4fDcYvob035ZZLA	 | Ground Truth Categories :[ "Active Life" , "Playgrounds" , "Parks"]				 | Programatically assigned Categoires :Disc Golf, Commercial Real Estate		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: lOe96udVTehPZsJW6ZeR-Q	 | Ground Truth Categories :[ "Active Life" , "Parks"]				 | Programatically assigned Categoires :Disc Golf, Skating Rinks		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: m5OGHAr7PU1FXzONcF5n_A	 | Ground Truth Categories :[ "Discount Store" , "Shopping"]				 | Programatically assigned Categoires :Discount Store		 | precision : 1.0 		 | Recall : 0.5		 | F-Measure : 0.6666667
Business ID: uedyanrRsxiuZn0-UG5yWw	 | Ground Truth Categories :[ "Department Stores" , "Fashion" , "Shopping"]				 | Programatically assigned Categoires :Discount Store		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: XWI3o9OeEKg0IPUjtn4kpQ	 | Ground Truth Categories :[ "Discount Store" , "Shopping"]				 | Programatically assigned Categoires :Discount Store		 | precision : 1.0 		 | Recall : 0.5		 | F-Measure : 0.6666667
Business ID: gf7ZnEJO4mm2v5_mzIiXVQ	 | Ground Truth Categories :[ "Women's Clothing" , "Department Stores" , "Fashion" , "Shopping" , "Discount Store"]				 | Programatically assigned Categoires :Discount Store		 | precision : 1.0 		 | Recall : 0.2		 | F-Measure : 0.3333333
Business ID: 9GvqBPlSZShXgOFGZdjeKw	 | Ground Truth Categories :[ "Women's Clothing" , "Men's Clothing" , "Fashion" , "Shopping" , "Accessories"]				 | Programatically assigned Categoires :Discount Store		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: cIPE37nO7qvo3t1I15oO3Q	 | Ground Truth Categories :[ "Department Stores" , "Fashion" , "Shopping"]				 | Programatically assigned Categoires :Discount Store		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: TnW5D6VTcgfW7bIqNR49CQ	 | Ground Truth Categories :[ "Shopping" , "Home Decor" , "Home & Garden" , "Furniture Stores"]				 | Programatically assigned Categoires :Discount Store		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: keJFb7HFUvWScipmQLerjQ	 | Ground Truth Categories :[ "Department Stores" , "Fashion" , "Shopping"]				 | Programatically assigned Categoires :Discount Store		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: RTORdInYvCiDQFTlW6v4ow	 | Ground Truth Categories :[ "Department Stores" , "Fashion" , "Shopping"]				 | Programatically assigned Categoires :Discount Store, Arts & Crafts		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: eO2AWhxTeQx39_4WFJW2UA	 | Ground Truth Categories :[ "Women's Clothing" , "Department Stores" , "Fashion" , "Shopping" , "Men's Clothing"]				 | Programatically assigned Categoires :Discount Store		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: 2RPFwqKLkDRa1_2M2bJ6Eg	 | Ground Truth Categories :[ "Bars" , "American (Traditional)" , "Nightlife" , "Restaurants"]				 | Programatically assigned Categoires :Dive Bars, Pool Halls		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: mWRKam3diswqKMja8TKQ_w	 | Ground Truth Categories :[ "Bars" , "Restaurants" , "American (Traditional)" , "Sports Bars" , "Nightlife"]				 | Programatically assigned Categoires :Dive Bars, Pool Halls		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: Le58tt8I6HFgay1qnNG4iw	 | Ground Truth Categories :[ "Bars" , "Arts & Entertainment" , "Nightlife" , "Music Venues"]				 | Programatically assigned Categoires :Dive Bars, Music Venues		 | precision : 0.5 		 | Recall : 0.25		 | F-Measure : 0.33333334
Business ID: -9BeUZZ1Jph1pD5qpax21g	 | Ground Truth Categories :[ "Bars" , "Karaoke" , "Nightlife" , "American (New)" , "Sports Bars" , "Restaurants"]				 | Programatically assigned Categoires :Dive Bars, Delicatessen		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: NHy-HT-FI305jqgyeIWPCQ	 | Ground Truth Categories :[ "Bars" , "American (Traditional)" , "Music Venues" , "Arts & Entertainment" , "Dive Bars" , "Nightlife" , "Restaurants"]				 | Programatically assigned Categoires :Dive Bars, Diving		 | precision : 0.5 		 | Recall : 0.14285715		 | F-Measure : 0.22222224
Business ID: W84OPgnAjdHq_cHapy0EKw	 | Ground Truth Categories :[ "Bars" , "Nightlife"]				 | Programatically assigned Categoires :Dive Bars		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: mygV--nIcIbUvynercSb4g	 | Ground Truth Categories :[ "Music Venues" , "Bars" , "Arts & Entertainment" , "Nightlife" , "Lounges"]				 | Programatically assigned Categoires :Dive Bars,  Lounges, Gay Bars		 | precision : 0.33333334 		 | Recall : 0.2		 | F-Measure : 0.25
Business ID: 2qbajPD8M7PJlWWaHSRR5Q	 | Ground Truth Categories :[ "Arts & Entertainment" , "American (Traditional)" , "Music Venues" , "Bars" , "Nightlife" , "Sports Bars" , "Restaurants"]				 | Programatically assigned Categoires :Dive Bars, Diving		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: hvaOgvC3F9b0G1eefGlzNQ	 | Ground Truth Categories :[ "American (Traditional)" , "Restaurants"]				 | Programatically assigned Categoires :Dive Bars		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: GELMS90-RDnSuLEFPxnt3w	 | Ground Truth Categories :[ "Hotels & Travel" , "Arts & Entertainment" , "Casinos" , "Event Planning & Services" , "Hotels"]				 | Programatically assigned Categoires :Dive Bars, Advertising		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: EemFk0x2E-vlPbnJDHfbxw	 | Ground Truth Categories :[ "Bars" , "American (Traditional)" , "Nightlife" , "Restaurants"]				 | Programatically assigned Categoires :Dive Bars, Paintball		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: -hI4yViTCj2xtTS6AID8IQ	 | Ground Truth Categories :[ "Bars" , "Nightlife"]				 | Programatically assigned Categoires :Dive Bars		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: p5HEHFZwbztIkpI4ItbX2w	 | Ground Truth Categories :[ "Bars" , "Pool Halls" , "Sports Bars" , "Nightlife"]				 | Programatically assigned Categoires :Dive Bars, Pool Halls		 | precision : 0.5 		 | Recall : 0.25		 | F-Measure : 0.33333334
Business ID: QkY72ILiLpEDoJQKvfo-qA	 | Ground Truth Categories :[ "Bars" , "Nightlife"]				 | Programatically assigned Categoires :Dive Bars, Diving		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: UDxk5pvPlNvEtFM4KQ9m1A	 | Ground Truth Categories :[ "Bars" , "American (Traditional)" , "Nightlife" , "Restaurants"]				 | Programatically assigned Categoires :Dive Bars		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: Cj600pBtkNKwc-WWbcvLUQ	 | Ground Truth Categories :[ "Dive Bars" , "Pubs" , "Bars" , "Nightlife"]				 | Programatically assigned Categoires :Dive Bars, Pool Halls, Mini Golf		 | precision : 0.33333334 		 | Recall : 0.25		 | F-Measure : 0.28571427
Business ID: 6uvwIYMwrvJeCvyFEVWkrw	 | Ground Truth Categories :[ "Active Life" , "Diving" , "Scuba Diving"]				 | Programatically assigned Categoires :Diving, Scuba Diving		 | precision : 1.0 		 | Recall : 0.6666667		 | F-Measure : 0.8
Business ID: mXr-1rBHjaGGnqX4MgLctA	 | Ground Truth Categories :[ "Bars" , "Sports Bars" , "Nightlife"]				 | Programatically assigned Categoires :Diving		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: f67EBuoqqgW4h1OcG_K7kA	 | Ground Truth Categories :[ "Bars" , "Restaurants" , "American (Traditional)" , "Sports Bars" , "Nightlife"]				 | Programatically assigned Categoires :Diving		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: 8VkcHnFjxU8kgFvfwcd9Ig	 | Ground Truth Categories :[ "Sushi Bars" , "Mexican" , "Restaurants"]				 | Programatically assigned Categoires :Diving		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: JId49VgiWOS30qK7tn3JXw	 | Ground Truth Categories :[ "Dive Bars" , "Bars" , "American (Traditional)" , "Nightlife" , "Restaurants"]				 | Programatically assigned Categoires :Diving		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: z-Lywypl0Y_O2QIp2mGXmA	 | Ground Truth Categories :[ "Chicken Wings" , "Restaurants"]				 | Programatically assigned Categoires :Diving		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: mPnKGfoCvAd7N7Q58EBRrQ	 | Ground Truth Categories :[ "Dive Bars" , "Bars" , "Arts & Entertainment" , "Nightlife" , "Music Venues"]				 | Programatically assigned Categoires :Diving		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: mJRgDb4SELrNs6b4afKTuA	 | Ground Truth Categories :[ "Active Life" , "Swimming Pools"]				 | Programatically assigned Categoires :Diving, Swimwear		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: i5cwYJR3IEaUgwg2xRcClQ	 | Ground Truth Categories :[ "Sporting Goods" , "Shopping"]				 | Programatically assigned Categoires :Diving, Sporting Goods		 | precision : 0.5 		 | Recall : 0.5		 | F-Measure : 0.5
Business ID: B5XWpzev81Ff0K8xScYeDg	 | Ground Truth Categories :[ "Auto Repair" , "Automotive" , "Tires" , "Oil Change Stations"]				 | Programatically assigned Categoires :Diving		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: _Tv5WCZl4tBuzvX7Era-Lg	 | Ground Truth Categories :[ "Active Life" , "Recreation Centers" , "Challenge Courses" , "Gyms" , "Fitness & Instruction"]				 | Programatically assigned Categoires :Diving		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: cA3gmj6NUt40Us45ArSZdA	 | Ground Truth Categories :[ "Dive Bars" , "Bars" , "Nightlife"]				 | Programatically assigned Categoires :Diving		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: -XKza5Hr4pCDGs-fNy_Xxg	 | Ground Truth Categories :[ "Bars" , "Restaurants" , "Nightlife" , "Italian"]				 | Programatically assigned Categoires :Diving		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: 7JZ29DY1lQ0DZVu5zHEleQ	 | Ground Truth Categories :[ "Bars" , "Sports Bars" , "Nightlife"]				 | Programatically assigned Categoires :Diving		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: rsgPHRYl8ciqeZQYCmmygg	 | Ground Truth Categories :[ "Active Life" , "Swimming Pools"]				 | Programatically assigned Categoires :Diving, Beaches		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: y5F3GzoHINR3hCdyHfN4Kw	 | Ground Truth Categories :[ "Bars" , "Nightlife"]				 | Programatically assigned Categoires :Diving, Karaoke		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: eY1U4H14VY5RTgQYHhf2Pw	 | Ground Truth Categories :[ "Hotels & Travel" , "Vacation Rentals"]				 | Programatically assigned Categoires :Divorce & Family Law		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: cL8CtwxEOtsoJo3kavkxCg	 | Ground Truth Categories :[ "Pakistani" , "Restaurants"]				 | Programatically assigned Categoires :Divorce & Family Law		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: FxvTHUfwZXH8d_QR_fNZzg	 | Ground Truth Categories :[ "Shopping" , "Home & Garden" , "Furniture Stores"]				 | Programatically assigned Categoires :Divorce & Family Law		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: mXYkoEMFQyciY4KKxazbYg	 | Ground Truth Categories :[ "Car Wash" , "Automotive" , "Auto Detailing"]				 | Programatically assigned Categoires :Divorce & Family Law		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: ZNcCDiCIQu2yxN2BUodvBg	 | Ground Truth Categories :[ "Bars" , "Nightlife"]				 | Programatically assigned Categoires :DJs		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: FN8DhpdO4UBnynOzswVCCA	 | Ground Truth Categories :[ "Bars" , "American (New)" , "Nightlife" , "Restaurants"]				 | Programatically assigned Categoires :DJs, Videographers		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: zxNT4025QCHXNf10WJYZkw	 | Ground Truth Categories :[ "DJs" , "Event Planning & Services" , "Party & Event Planning"]				 | Programatically assigned Categoires :DJs		 | precision : 1.0 		 | Recall : 0.33333334		 | F-Measure : 0.5
Business ID: 2bZ_cuBilveH6uETbP59zg	 | Ground Truth Categories :[ "DJs" , "Wedding Planning" , "Event Planning & Services"]				 | Programatically assigned Categoires :DJs		 | precision : 1.0 		 | Recall : 0.33333334		 | F-Measure : 0.5
Business ID: yv8qiwqR4Y0a8qiHeGOefA	 | Ground Truth Categories :[ "Pubs" , "Bars" , "Dance Clubs" , "Nightlife" , "Lounges"]				 | Programatically assigned Categoires :DJs		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: cTirJGp4NdxpbjzBovs8Fg	 | Ground Truth Categories :[ "Wedding Planning" , "Event Planning & Services" , "Venues & Event Spaces"]				 | Programatically assigned Categoires :DJs		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: kPUM0huJ8dFFviM6rPRg-A	 | Ground Truth Categories :[ "Web Design" , "Marketing" , "Advertising" , "Professional Services"]				 | Programatically assigned Categoires :DJs		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: yiq2GYy019L6wPo68JcgUQ	 | Ground Truth Categories :[ "DJs" , "Wedding Planning" , "Event Planning & Services" , "Party & Event Planning"]				 | Programatically assigned Categoires :DJs, Party Supplies		 | precision : 0.5 		 | Recall : 0.25		 | F-Measure : 0.33333334
Business ID: H_cHgV-Hro4k8M8qIBYPJA	 | Ground Truth Categories :[ "Photographers" , "Videographers" , "Event Planning & Services"]				 | Programatically assigned Categoires :DJs, Wedding Planning		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: lSKnT4Z1s58EGUc3IzS01g	 | Ground Truth Categories :[ "DJs" , "Event Planning & Services"]				 | Programatically assigned Categoires :DJs, Cabinetry, Dance Schools		 | precision : 0.33333334 		 | Recall : 0.5		 | F-Measure : 0.4
Business ID: npTb-B5Uu9gtk6wFi3iW_g	 | Ground Truth Categories :[ "Event Planning & Services" , "Party & Event Planning"]				 | Programatically assigned Categoires :DJs		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: z1TNBiDj7GgRhMSRRPlTKA	 | Ground Truth Categories :[ "DJs" , "Wedding Planning" , "Event Planning & Services"]				 | Programatically assigned Categoires :DJs		 | precision : 1.0 		 | Recall : 0.33333334		 | F-Measure : 0.5
Business ID: LID0gphDNqmzsrIqy29L5A	 | Ground Truth Categories :[ "Hotels & Travel" , "Bed & Breakfast" , "Event Planning & Services" , "Venues & Event Spaces" , "Hotels"]				 | Programatically assigned Categoires :DJs		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: c3TeAJMg-yrNVnb186D6Nw	 | Ground Truth Categories :[ "DJs" , "Event Planning & Services"]				 | Programatically assigned Categoires :DJs		 | precision : 1.0 		 | Recall : 0.5		 | F-Measure : 0.6666667
Business ID: tJsIq-3A69ecnFQkE_KMmA	 | Ground Truth Categories :[ "Event Planning & Services" , "Venues & Event Spaces"]				 | Programatically assigned Categoires :DJs		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: 2cuij0ayL6YqVMUg8xL-Vg	 | Ground Truth Categories :[ "DJs" , "Event Planning & Services" , "Party & Event Planning"]				 | Programatically assigned Categoires :DJs		 | precision : 1.0 		 | Recall : 0.33333334		 | F-Measure : 0.5
